no.,original SMILES,final SMILES,exp VDss (L/kg),pred VDss (L/kg),exp CL (mL/min/kg),pred CL (mL/min/kg),exp t1/2 (h),pred t1/2 (h),exp fu,pred fu,exp logVDss,pred logVDss,exp logCL,pred logCL,exp logt1/2,pred logt1/2,exp logfu,pred logfu
761,CC1=NC=C([N]1CCO)[N](=O)=O,CC1=NC=C([N]1CCO)[N+]([O-])=O,0.4,0.50,0.85,1.64,7.1,4.51,0.96,0.84,0.40,-0.30,-0.07,0.22,0.85,0.65,-0.02,-0.08
762,CC(N)COC1=C(C)C=CC=C1CCC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC,C[C@H]([NH3+])COC1=C(C)C=CC=C1CCC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N,5.9,4.68,8.3,8.08,9.9,6.20,0.36,0.45,0.77,0.67,0.92,0.91,1.00,0.79,-0.44,-0.35
763,(=O)N3CCN(C3=O)[S](C)(=O)=O)C4=CC=CC=C4)C(=O)N2[C@H]1C(O)=OCN1CCN2[C@H](C1)C3=C(CC4=C2C=CC=C,3CCN(C3=O)[S](C)(=O)=O)C4=CC=CC=C4)C(=O)N2[C@H]1C([O-])=OC[NH+]1CCN2[C@H](C1)C3=C(CC4=C2C=CC=C4),0.09,0.11,2.1,2.15,1.2,1.43,0.7,0.50,1.05,-0.95,0.32,0.33,0.08,0.16,-0.15,-0.30
764,4)C=CC=C3COCC(=O)O[C@]1(CCN(C)CCCC2=NC3=CC,C=CC=C3COCC(=O)O[C@@]1(CC[NH+](C)CCCC2=NC3=C([,13.75,8.00,21.9,14.88,9.6,10.87,0.05,0.17,1.14,0.90,1.34,1.17,0.98,1.04,-1.30,-0.78
765,=CC=C3[NH]2)CCC4=CC(=CC=C4[C@@H]1C(C)C)F@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2OCC1=NC=C2CN=C(C3=CC=CC=C3F)C4=CC(,NH]2)C=CC=C3)CCC4=C(C=CC(=C4)F)[C@@H]1C(C)CH](O[C@H]3OC[C@](C)(O)[C@H]([NH2+]C)[C@H]3O)[C@H]2OCC1=NC=C2CN=C(C3=C(F)C=CC=C3)C4=C(C=CC(,3.1,3.91,4,4.87,13,11.23,0.005,0.01,0.49,0.59,0.60,0.69,1.11,1.05,-2.30,-2.02
768,COC1=CC(=C(OC)C=C1)[C@H](O)CNC(=O),COC1=CC(=C(OC)C=C1)[C@H](O)CNC(=O)C[NH3,1.1,1.38,5.3,3.41,3.1,4.88,0.017,0.03,0.04,0.14,0.72,0.53,0.49,0.69,-1.77,-1.53
769,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C,+]CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O),0.67,0.84,27.9,14.58,0.6,1.02,0.7,0.75,0.17,-0.07,1.45,1.16,-0.22,0.01,-0.15,-0.12
770,C(=O)CCC4=C3[C@H](C[C@]12C)C5=CC=C(C=C5)N(C)COCCN1C[C@H](O)[C@@H](O)[C@H](O)[C,CCC4=C3[C@@H](C[C@]12C)C5=CC=C(C=C5)N(C)COCC[NH+]1C[C@H](O)[C@@H](O)[C@H](O)[C@H,0.45,0.57,0.5,0.99,16.6,12.67,0.02,0.02,0.35,-0.25,-0.30,-0.01,1.22,1.10,-1.70,-1.61
771,@H]1CO,]1CO,0.28,0.35,1.7,2.49,2.3,2.70,1,0.86,0.55,-0.45,0.23,0.40,0.36,0.43,0.00,-0.07
772,C[N+](C)(C)NCCC([O-])=OCCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=,C[N+](C)(C)NCCC([O-])=OCCN(CC)C(=O)[C@@]1(C[C@@H]1C[NH3+])C2=C,0.7,0.56,2.8,2.52,6.2,4.81,,,0.15,-0.26,0.45,0.40,0.79,0.68,,
773,CC=CC=C2,C=CC=C2,4.51,3.59,8.17,9.60,6.48,4.11,0.87,0.69,0.65,0.55,0.91,0.98,0.81,0.61,-0.06,-0.16
774,CC1=C(C=C(C#N)C(=O)N1)C2=CC=NC=C2CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(,CC1=C(C=C(C#N)C(=O)N1)C2=CC=NC=C2CN(C)C1=C2C[C@H]3C[C@H]4[C@H]([NH+](C)C),0.25,0.31,6.2,5.55,0.8,1.50,0.035,0.07,0.60,-0.50,0.79,0.74,-0.10,0.18,-1.46,-1.15
775,C=CC(=C4C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(N)=O)O)N(C)C,C(=C(C(N)=O)C(=O)[C@@]4(O)C(=C3C(=O)C2=C(O)C=C1)[O-])[O-],1.6,1.27,1.2,1.49,17,10.82,0.005,0.03,0.20,0.10,0.08,0.17,1.23,1.03,-2.30,-1.46
776,NC1=[N](=O)C(=NC(=C1)N2CCCCC2)NNC1=NC(=CS1)CC(=O)NC2=CC=C(CCNC[C,NC1=[N+]([O-])C(=NC(=C1)N2CCCCC2)NNC1=NC(=CS1)CC(=O)NC2=CC=C(CC[NH2+]C[C@,0.9,1.13,11.5,8.93,1.5,2.22,1,0.87,0.05,0.05,1.06,0.95,0.18,0.35,0.00,-0.06
777,@H](O)C3=CC=CC=C3)C=C2CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CN,H](O)C3=CC=CC=C3)C=C2C[NH+]1CCN2[C@H](C1)C3=C(CC4=C2N=CC=C4),23.8,16.47,13.6,10.19,50,22.53,0.29,0.19,1.38,1.22,1.13,1.01,1.70,1.35,-0.54,-0.73
778,=C24CN(C)CCN1C(=O)C2=C3C(=CC=C2)C=C(C=,C=CC=C3C[NH+](C)CCN1C(=O)C2=C3C(=CC=C2)C=C(C=C3,4.2,3.47,8,7.74,15,11.37,0.15,0.20,0.62,0.54,0.90,0.89,1.18,1.06,-0.82,-0.70
779,C3C1=O)[N+]([O-])=OOCCNCCNC1=CC=C(NCCNCCO)C2=C1C(=,C1=O)[N+]([O-])=OOCC[NH2+]CCNC1=C2C(=O)C3=C(C(=CC=C3O)O),11.3,8.97,34.6,16.32,28.7,14.62,,,1.05,0.95,1.54,1.21,1.46,1.17,,
780,O)C3=C(O)C=CC(=C3C2=O)OCN(C1CCN(CC1)C2=NC3=C(C=CC=C3)[N]2,C(=O)C2=C(NCC[NH2+]CCO)C=C1CN(C1CCN(CC1)C2=NC3=C(C=CC=C3)[N]2CC4=C,12,9.53,7.9,6.04,53,28.23,0.25,0.24,1.08,0.98,0.90,0.78,1.72,1.45,-0.60,-0.63
781,CC4=CC=C(F)C=C4)C5=NC=CC(=O)N5,C=C(F)C=C4)C5=NC=CC(=O)N5,0.38,0.48,1.03,1.64,9.6,9.66,,,0.42,-0.32,0.01,0.22,0.98,0.98,,
782,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@,CCOC(=O)[C@H](CCC1=CC=CC=C1)[NH2+][C@@,1.1,1.39,10,7.31,1.5,2.12,0.77,0.54,0.04,0.14,1.00,0.86,0.18,0.33,-0.11,-0.27
783,@H](C)C(=O)N2CC3=C(C[C@H]2C(O)=O)C=C(OC)C(=C3)OCCCOC(=O)[NH-,H](C)C(=O)N2CC3=C(C[C@H]2C([O-])=O)C=C(OC)C(=C3)OC,,,6.3,5.33,1.3,1.85,0.12,0.10,,,0.80,0.73,0.11,0.27,-0.92,-1.02
784,;v3]C1=C[N+](=NO1)N2CCOCC2C[C@@H]1C[C@H]2[C@H]3CCC4=CC(=O),CCOC(=O)[N-]C1=C[N+](=NO1)N2CCOCC2C[C@H]1C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@],1.4,1.11,11,7.80,1.6,2.81,1,0.91,0.15,0.05,1.04,0.89,0.20,0.45,0.00,-0.04
785,CC(C)(O)C1=CC=CC=C1CC[C@@H](SCC2(,CC(C)(O)C1=C(CC[C@@H](SCC2(CC2)CC([O-,2.2,1.75,12.7,10.91,4.4,4.11,0.01,0.01,0.34,0.24,1.10,1.04,0.64,0.61,-2.00,-1.83
786,CC2)CC(O)=O)C3=CC=CC(=C3)C=CC4=CC=CC1=NC=C([N]1CC(O)CN2CCOCC2)[N+]([O,])=O)C3=CC(=CC=C3)\C=C\C4=NC5=CC(=CC=C5C0.0020.0035CC1=NC=C([N]1C[C@@H](O)C[NH+]2CCOCC2)[N,0.15,0.19,0.68,0.97,5,5.08,,,0.82,-0.72,-0.17,-0.01,0.70,0.71,-2.70,-2.46
787,-])=OCN1CC[C@@]23[C@H]4OC5=C(O)C=CC(=C,+]([O-])=OC[NH+]1CC[C@]23[C@H]4OC5=C2C(=CC=C5O)C[,0.75,0.82,1.6,2.48,6.2,5.25,,,0.12,-0.08,0.20,0.39,0.79,0.72,,
788,25)C[C@@H]1[C@@H]3C=C[C@@H]4OCN1CC[C@@]23[C@H]4OC5=C(O)C=CC(=C25)C[C@@H]1[C@@H]3C=C[C@@H]4O[C,C@H]1[C@H]3C=C[C@@H]4OC[NH+]1CC[C@@]23[C@H]4OC5=C2C(=CC=C5O),2.3,2.23,26,22.16,2,3.47,0.65,0.63,0.36,0.35,1.41,1.35,0.30,0.54,-0.19,-0.20
789,@@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6O)C(O)=OCO[C@]1(NC(=O)[C@H](C(O)=O)C2=CC=C(,C[C@@H]1[C@@H]3C=C[C@@H]4O[C@@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6O)C([O-])=OCO[C@]1(NC(=O)[C@H](C([O-,0.12,0.15,2.2,2.78,1.4,2.19,0.67,0.59,0.92,-0.82,0.34,0.44,0.15,0.34,-0.17,-0.23
790,O)C=C2)[C@H]3OCC(=C(N3C1=O)C(O)=O)C,])=O)C2=CC=C(O)C=C2)[C@H]3OCC(=C(N3C1=O),0.17,0.21,0.72,1.06,2.9,2.30,0.39,0.26,0.77,-0.67,-0.14,0.03,0.46,0.36,-0.41,-0.59
792,COC1=C(C)C2=C(C(=C1CC=C(C)CCC(O)=O),COC1=C(C\C=C(\C)CCC([O-,1.8,2.95,11,7.32,2.2,2.59,0.93,0.83,0.26,0.47,1.04,0.86,0.34,0.41,-0.03,-0.08
793,O)C(=O)OC2CC(C)(C)NCC(O)COC1=CC=CC2=C1CC(O)C,])=O)C(=C2C(=O)OCC2=C1C)OCC(C)(C)[NH2+]C[C@H](O)COC1=C2C[C@@H](O),0.77,0.79,2.33,2.72,9.7,5.78,0.02,0.04,0.11,-0.10,0.37,0.44,0.99,0.76,-1.70,-1.39
794,(O)C2NC(=N)NC1=CC=C(C=C1)C(=O)OC2=CC=C3,[C@H](O)CC2=CC=C1NC(=[NH2+])NC1=CC=C(C=C1)C(=O)OC2=CC3=C,1.9,1.75,2.9,4.55,9.2,6.91,0.14,0.27,0.28,0.24,0.46,0.66,0.96,0.84,-0.85,-0.57
795,C=C(C=CC3=C2)C(N)=NCCOC1=CC=C2C=CC=CC2=C1C(=O)N[C@H,C=C(C=C3C=C2)C(N)=[NH2+]CCOC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H,5.71,4.54,81.96,28.97,1.84,3.28,,,0.76,0.66,1.91,1.46,0.26,0.52,,
796,]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=COC1=C(C=CC=C1)N2CCN(CC2)C[C@@H](,](N3C2=O)C([O-])=O)C4=CC=CC=C4C=C1COC1=C(C=CC=C1)N2CC[NH+](CC2)C[C@@H](O),0.22,0.22,3.3,3.21,0.7,1.05,0.13,0.09,0.66,-0.66,0.52,0.51,-0.15,0.02,-0.89,-1.03
797,O)COC3=C4C=CC=CC4=CC=C3O[C@H]1CC[C@@]2(O)[C@H]3CC4=CC=C(,COC3=C4C=CC=CC4=CC=C3O[C@H]1CC[C@@]2(O)[C@H]3CC4=C5C(=C(O)C=,,,11,7.54,3.3,5.93,0.008,0.02,,,1.04,0.88,0.52,0.77,-2.10,-1.82
798,O)C5=C4[C@@]2(CCN3CC6CCC6)[C@H]1OOC1=CC=C2C[C@H]3N(CC[C@@]45[C@@,C4)O[C@@H]1[C@@]25CC[NH+]3CC6CCC6OC1=C2O[C@H]3C(=C)CC[C@@]4(O)[C@H]5CC(=,4.6,3.65,22,20.37,3.7,4.37,0.5,0.44,0.66,0.56,1.34,1.31,0.57,0.64,-0.30,-0.36
799,H](OC1=C24)C(=C)CC[C@@]35O)CC6CC6OC1=CC=C2C[C@H]3N(CC[C@@]45[C@@,C2[C@@]34CC[NH+]5CC6CC6)C=C1OC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(=,8.2,3.83,15,18.17,8.8,6.76,0.65,0.37,0.91,0.58,1.18,1.26,0.94,0.83,-0.19,-0.44
800,H](OC1=C24)C(=O)CC[C@@]35O)CC=COC1=CC=C2C[C@H]3N(CC[C@@]45[C@@,C2[C@@]34CC[NH+]5CC=C)C=C1OC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(=,1.7,3.03,23,19.48,1.1,1.80,0.54,0.56,0.23,0.48,1.36,1.29,0.04,0.26,-0.27,-0.25
801,H](OC1=C24)C(=O)CC[C@@]35O)CC6CC6CCN(CC)CCOC(=O)C(CC1CCCO1)CC2=CC=,C2[C@]34CC[NH+]5CC6CC6)C=C1CC[NH+](CC)CCOC(=O)[C@@H](C[C@@H]1CCC,7.6,4.38,57,33.30,1.9,3.34,0.79,0.55,0.88,0.64,1.76,1.52,0.28,0.52,-0.10,-0.26
802,CC3=C2C=CC=C3COC1=CC2=CC=C(C=C2C=C1)[C@H](C)C(O,O1)CC2=C3C=CC=CC3=CC=C2,0.98,2.11,10.8,7.62,1.35,2.12,0.2,0.04,0.01,0.32,1.03,0.88,0.13,0.33,-0.70,-1.42
803,)=ONC(=N)N1CCC[C@@H](CNC(=O)C[C@H](N,COC1=CC2=CC=C(C=C2C=C1)[C@H](C)C([O-])=ONC(=[NH2+])N1CCC[C@@H](CNC(=O)C[C@H](N[,0.09,0.10,0.07,0.22,16.63,7.80,0.002,0.01,1.05,-0.99,-1.15,-0.65,1.22,0.89,-2.70,-2.26
804,[S](=O)(=O)C2=CC=C3C=CC=CC3=C2)C(=O)N(CC(O)=O)C4CC4)C1CN[S](=O)(=O)CCC1=CC=C2[NH]C=C(C3CC,S](=O)(=O)C2=CC3=CC=CC=C3C=C2)C(=O)N(CC([O-])=O)C4CC4)C1CN[S](=O)(=O)CCC1=CC2=C([NH]C=C2C3CC[NH+,0.36,0.45,6.4,4.83,1.9,2.19,0.55,0.41,0.44,-0.34,0.81,0.68,0.28,0.34,-0.26,-0.39
805,N(C)CC3)C2=C1CC(C)[C@@H]1CC[C@H](CC1)C(=O)N[C@,](C)CC3)C=C1CC(C)C1CCC(CC1)C(=O)N[C@H](CC2=CC=CC=C2,2.4,2.28,6.6,7.55,6.6,3.48,0.7,0.49,0.38,0.36,0.82,0.88,0.82,0.54,-0.15,-0.31
806,H](CC2=CC=CC=C2)C(O)=OC[C@@H](C1=CC=CC=N1)C2=C(CCN(C)C)S,)C([O-])=OC[C@@H](C1=NC=CC=C1)C2=C(CC[NH+](C)C)SC,0.15,0.19,1.8,1.89,1.5,1.98,0.029,0.03,0.82,-0.72,0.26,0.28,0.18,0.30,-1.54,-1.55
807,C3=CC=CC=C23CN(C)CCC1=C(CC2=CC=CN=N2)C3=CC=C(,3=C2C=CC=C3C[NH+](C)CCC1=C(CC2=NN=CC=C2)C3=C(C1)C=,1.83,2.31,5.31,6.77,9.1,11.73,,,0.26,0.36,0.73,0.83,0.96,1.07,,
808,F)C=C3C1C[C@@H](C1=CN=CC=N1)C2=C(CCN(C)C),C(F)C=C3C[C@@H](C1=NC=CN=C1)C2=C(CC[NH+](C)C)CC,1.11,1.56,2.33,3.92,9,9.03,,,0.05,0.19,0.37,0.59,0.95,0.96,,
809,CC3=CC=CC=C23C[C@@H](C1=CC=CN=C1F)C2=C(CCN(C)C),3=C2C=CC=C3C[C@@H](C1=C(F)N=CC=C1)C2=C(CC[NH+](C)C),1.86,2.32,3.4,4.40,11,8.49,,,0.27,0.37,0.53,0.64,1.04,0.93,,
810,SC3=CC=CC=C23O[C@@H](CNC[C@H](O)[C@H]1CCC2=CC(,SC3=C2C=CC=C3O[C@@H](C[NH2+]C[C@H](O)[C@H]1CCC2=C(O1,5.73,3.49,10.4,7.50,15,12.88,,,0.76,0.54,1.02,0.88,1.18,1.11,,
811,=CC=C2O1)F)[C@@H]3CCC4=CC(=CC=C4O3)F,)C=CC(=C2)F)[C@@H]3CCC4=C(O3)C=CC(=C4)F,11,8.74,14,11.19,10,8.35,0.02,0.03,1.04,0.94,1.15,1.05,1.00,0.92,-1.70,-1.47
812,N[Pt]1OCC(=O)O1CCCC1=C2N(CC)C(=CC(=O)C2=CC3=C1OC(,N[Pt]1OCC(=O)O1CCCC1=C2N(CC)C(=CC(=O)C2=CC3=C1OC(=CC3=,0.67,0.66,4.05,3.10,2.1,2.34,0.84,0.69,0.17,-0.18,0.61,0.49,0.32,0.37,-0.08,-0.16
813,=CC3=O)C(O)=O)C(O)=OCCC1=NN(CCCN2CCN(CC2)C3=CC=CC(=C3,O)C([O-])=O)C([O-])=OCCC1=NN(CCC[NH+]2CCN(CC2)C3=CC(=CC=C3)C,0.43,0.54,10.2,4.43,0.9,1.49,0.11,0.08,0.37,-0.27,1.01,0.65,-0.05,0.17,-0.96,-1.08
814,CN1CCOC(C2=CC=CC=C2)C3=CC=CC=C3C,l)C(=O)N1CCOC4=CC=CC=C4C[NH+]1CCO[C@H](C2=CC=CC=C2)C3=C(C1)C=C,0.51,0.64,7.5,5.89,1.2,2.60,0.01,0.02,0.29,-0.19,0.88,0.77,0.08,0.41,-2.00,-1.80
815,816COC1=NC(=NC2=C1N=C[N]2[C@@H]3O[CCOC1=C2N=C[N]([C@@H]3O[C@H](CO)[C@@H](CO[C@@H]1CN(CCO1)[C@H]2C[C@@H](O[C@@H](C)[C@H]2O)O[C@H]3C[C@@](O)(,C=C3CO[C@@H]1C[NH+](CCO1)[C@H]2C[C@@H](O[C@@H](C)[C@H]2O)O[C@H]3C[C@@](O)(CC4=C3,5.6,4.81,12,10.38,5,9.60,0.8,0.77,0.75,0.68,1.08,1.02,0.70,0.98,-0.10,-0.11
818,CC4=C3C(=C5C(=O)C6=C(C=CC=C6OC)C(=O)C5=C4O)O)C(=O)CO,C(=C5C(=O)C6=C(C=CC=C6OC)C(=O)C5=C4O)O)C(=O)CO,49,30.93,15.32,13.44,49.2,24.24,,,1.69,1.49,1.19,1.13,1.69,1.38,,
819,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)CCCN[C@@H]1C[C@H](N)[C@@H](O[C@H],CN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)CCC[NH2+][C@@H]1C[C@H]([NH3+])[C@H](O[C@H]2OC(=CC[C@H]2[NH3+])C[NH3+])[C@H](O)[C@,0.74,1.20,9.2,7.46,1.3,1.74,,,0.13,0.08,0.96,0.87,0.11,0.24,,
820,2OC(=CC[C@H]2N)CN)[C@H](O)[C@H]1O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3OCN1CCN(CC1)C2=NC=C(N(C)C(=O)C(C)(C),H]1O[C@H]3OC[C@](C)(O)[C@H]([NH2+]C)[C@H]CN(C(=O)C(C)(C)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F),0.073,0.13,0.55,0.85,3.2,3.32,1,0.79,1.14,-0.88,-0.26,-0.07,0.51,0.52,0.00,-0.10
821,C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C(=C2)C4=CC=CC=C4CCC1=CC=NC2=C1NC(=O)C3=CC=CN=C3N2,F)C2=C(C=C(N=C2)N3CC[NH+](C)CC3)C4=C(C)C=CC=C4CC1=C2NC(=O)C3=C(N=CC=C3)N(C4CC4)C2=NC=,5.54,4.40,2.83,3.00,34.28,31.60,0.003,0.01,0.74,0.64,0.45,0.48,1.54,1.50,-2.52,-2.25
822,C4CC4CC(C)NC[C@@H](O)COC1=CC=CC2=C1N(C,C1CC(C)[NH2+]C[C@@H](O)COC1=C2N(CCCC2=CC,1.3,1.03,0.3,1.00,53,18.56,0.32,0.25,0.11,0.01,-0.52,0.00,1.72,1.27,-0.49,-0.61
823,CC2)C(=O)C3=CC=CN=C3COC(=O)C1=C(C)NC(=C(C1C2=CC=CC(=C2),=C1)C(=O)C3=CN=CC=C3COC(=O)C1=C(C)NC(=C([C@@H]1C2=CC(=CC=C2,0.67,0.99,3.6,4.73,12.4,9.10,,,0.17,0.00,0.56,0.68,1.09,0.96,,
824,[N](=O)=O)C(=O)OCCN(C)CC3=CC=CC=C3),)[N+]([O-])=O)C(=O)OCC[NH+](C)CC3=CC=CC=C3)C,1,1.26,11,9.05,4.1,5.73,0.01,0.01,0.00,0.10,1.04,0.96,0.61,0.76,-2.00,-1.89
825,[O-][N+](=O)OCCNC(=O)C1=CC=CN=C1,[O-][N+](=O)OCCNC(=O)C1=CN=CC=C1,1.4,1.11,11.5,9.13,0.8,1.00,0.76,0.70,0.15,0.05,1.06,0.96,-0.10,0.00,-0.12,-0.16
826,CN1CCC[C@H]1C2=CC=CN=C2COC(=O)C1=C(C)NC(=C(C1C2=CC=CC=C2[,C[NH+]1CCC[C@H]1C2=CN=CC=C2COC(=O)C1=C(C)NC(=C(C1C2=C(C=CC=C2)[N+]([,2.6,2.06,18,11.74,2,2.96,0.95,0.84,0.41,0.31,1.26,1.07,0.30,0.47,-0.02,-0.07
827,N](=O)=O)C(=O)OC)CCN1C(=O)C=C(NCCN(CCO)CCCC2=CC=C(C,O-])=O)C(=O)OC)CCN1C(=O)C=C(NCC[NH+](CCO)CCCC2=CC=C(C=,0.79,1.58,7.3,9.13,1.9,2.55,0.044,0.04,0.10,0.20,0.86,0.96,0.28,0.41,-1.36,-1.37
828,=C2)[N+]([O-])=O)N(C)C1=OCOCCOC(=O)C1=C(C)NC(=C(C1C2=CC=CC(,C2)[N+]([O-])=O)N(C)C1=OCOCCOC(=O)C1=C(C)NC(=C([C@H]1C2=CC(=CC=,1.96,1.56,20.89,12.75,1.52,2.21,0.09,0.14,0.29,0.19,1.32,1.11,0.18,0.34,-1.05,-0.87
829,=C2)[N](=O)=O)C(=O)OC(C)C)CCOC(=O)C1=CC=C2C(=C1)NC(=O)C2=C(NC,C2)[N+]([O-])=O)C(=O)OC(C)C)CCOC(=O)C1=CC2=C(C=C1)\C(C(=O)N2)=C(\NC3=C,1.1,4.28,15,11.51,1.3,2.85,0.016,0.02,0.04,0.63,1.18,1.06,0.11,0.45,-1.80,-1.67
830,3=CC=C(C=C3)N(C)C(=O)CN4CCN(C)CC4)C5=CC=CC=C5COC(=O)C1=C(C)NC(=C(C1C2=CC=CC=C2[,C=C(C=C3)N(C)C(=O)C[NH+]4CC[NH+](C)CC4)C5=CC=CC=C5COC(=O)C1=C(C)NC(=C([C@H]1C2=C(C=CC=C2)[,15,11.91,19.9,12.30,9.5,9.67,0.02,0.03,1.18,1.08,1.30,1.09,0.98,0.99,-1.70,-1.60
831,N](=O)=O)C(=O)OCC(C)C)CO=C1CN=C(C2=CC=CC=C2)C3=CC(=CC=C3,N+]([O-])=O)C(=O)OCC(C)C)C[O-,5.5,4.37,15,12.30,11,8.09,0.003,0.01,0.74,0.64,1.18,1.09,1.04,0.91,-2.52,-2.11
832,N1)[N](=O)=OCCOC(=O)C1=C(C)NC(=C(C1C2=CC=CC(=C,][N+](=O)C1=CC2=C(NC(=O)CN=C2C3=CC=CC=C3)C=C1CCOC(=O)C1=C(C)NC(=C([C@H]1C2=CC(=CC=C2),1.7,0.86,0.86,0.91,26,16.70,0.13,0.07,0.23,-0.07,-0.07,-0.04,1.41,1.22,-0.89,-1.17
833,2)[N](=O)=O)C(=O)OC)CO=C1CN(N=CC2=CC=C(O2)[N](=O)=O)C(=O,[N+]([O-])=O)C(=O)OC)C,6.1,3.28,25,16.86,8.2,5.43,0.02,0.02,0.79,0.52,1.40,1.23,0.91,0.73,-1.70,-1.60
834,)N1[O-][N+](=O)OCC(CO[N+]([O-,[O-][N+](=O)C1=CC=C(O1)\C=N/N2CC(=O)NC2=O,0.57,0.56,9.7,6.57,0.97,1.38,0.17,0.20,0.24,-0.25,0.99,0.82,-0.01,0.14,-0.77,-0.69
835,])=O)O[N+]([O-])=OCNC(NCCSCC1=CSC(=N1)CN(C)C)=C[N](=,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=OCN\C(NCCSCC1=CSC(=N1)C[NH+](C)C)=C/[N+]([O,,,194.3,47.64,4.5,3.15,0.4,0.37,,,2.29,1.68,0.65,0.50,-0.40,-0.43
836,O)=OCOC1=CC(=CC(=C1O)OC)C2C3C(COC3=O),-])=OCOC1=C(O)C(=CC(=C1)[C@H]2[C@@H]3[C@H](COC3=O)[C@@H](O[C@@H]4O[C@H]5CO[C@H](C,1,1.04,9.8,8.72,1.5,1.90,0.65,0.56,0.00,0.02,0.99,0.94,0.18,0.28,-0.19,-0.25
837,C(OC4OC5COC(C)OC5C(O)C4N(C)C)C6=CC7=C(OCO7)C=C26CCCCC(C)(C)[C@@H](O)C=C[C@H]1[C@@,)O[C@H]5[C@H](O)[C@@H]4[NH+](C)C)C6=C2C=C7OCOC7=C6)OCCCCCC(C)(C)[C@@H](O)\C=C\[C@H]1[C@@H](O),0.3,0.38,0.4,1.16,14,9.83,0.013,0.03,0.52,-0.42,-0.40,0.07,1.15,0.99,-1.89,-1.50
838,CN1CC(C2=CC=CC=C2)C3=CC=CC(=C3C1),C[NH+]1C[C@@H](C2=CC=CC=C2)C3=C(C1)C(=C,0.16,0.20,13.2,9.80,0.8,1.24,,,0.80,-0.70,1.12,0.99,-0.10,0.09,,
839,CNCCC=C1C2=CC=CC=C2CCC3=CC=CC=C,C=C3)NC[NH2+]CCC=C1C2=C(CCC3=C1C=CC=C3)C=CC=,6,7.55,22,17.72,6.5,7.66,0.4,0.22,0.78,0.88,1.34,1.25,0.81,0.88,-0.40,-0.65
842,COC1=CC=C2[C@H](OC(=O)C2=C1OC)[C@,C2COC1=C(OC)C2=C(C=C1)[C@H](OC2=O)[C@@H]3,22,12.63,10,10.31,30,24.58,0.12,0.09,1.34,1.10,1.00,1.01,1.48,1.39,-0.92,-1.07
843,@H]3N(C)CCC4=CC5=C(OCO5)C(=C34)OCCC(C)(F)C[C@H](N[C@@H](C1=CC=C(C=C,[NH+](C)CCC4=C3C(=C5OCOC5=C4)OCCC(C)(F)C[C@H]([NH2+][C@@H](C1=CC=C(C=C1),2.3,1.83,16.88,12.43,2.13,3.14,,,0.36,0.26,1.23,1.09,0.33,0.50,,
844,1)C2=CC=C(C=C2)[S](C)(=O)=O)C(F)(F)F)C(=O)NC3(CC3)C#NCC1COC2=C(N3CCN(C)CC3)C(=CC4=C2N1,C2=CC=C(C=C2)[S](C)(=O)=O)C(F)(F)F)C(=O)NC3(CC3)C#NC[C@H]1COC2=C3N1C=C(C([O-,1.63,1.30,0.19,0.60,108,44.86,,,0.21,0.11,-0.72,-0.22,2.03,1.65,,
845,C=C(C(O)=O)C4=O)FOC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C,])=O)C(=O)C3=CC(=C2N4CC[NH+](C)CC4)FOC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@H]1,1.6,1.47,2.5,2.32,8.9,8.38,0.75,0.68,0.20,0.17,0.40,0.37,0.95,0.92,-0.12,-0.17
